# (X, Y) are on NAD83, UTM Zone 15N
X,Y,Z,mag
331700,6630000,209.74776333762,4927
331750,6630000,209.451907137136,4926
331800,6630000,209.142764875424,4927
331850,6630000,208.822140296792,4934
331900,6630000,208.491903876503,4944
331950,6630000,208.153970340169,4945
332000,6630000,207.810275043509,4932
332050,6630000,207.462751191332,4910
332100,6630000,207.113308208139,4896
332150,6630000,206.763810434896,4896
332200,6630000,206.416056647747,4901
332250,6630000,206.071761101749,4903
332300,6630000,205.732535815205,4907
332350,6630000,205.399874682479,4914
332400,6630000,205.075139832591,4922
332450,6630000,204.759549890497,4928
332500,6630000,204.454170318005,4936
332550,6630000,204.159906687028,4942
332600,6630000,203.877500523866,4937
332650,6630000,203.607527908493,4930
332700,6630000,203.35040051084,4928
332750,6630000,203.106368917186,4932
332800,6630000,202.875528391875,4941
332850,6630000,202.65782631266,4948
332900,6630000,202.453071530786,4947
332950,6630000,202.260945824354,4941
333000,6630000,202.0810169719,4936
333050,6630000,201.912753274341,4934
333100,6630000,201.755538912121,4936
333150,6630000,201.608689561078,4947
333200,6630000,201.471468233883,4969
333250,6630000,201.343101810078,4998
333300,6630000,201.222797656532,5013
333350,6630000,201.109759119971,4996
333400,6630000,201.003200760314,4964
333450,6630000,200.902363082356,4941
333500,6630000,200.806525593312,4928
333550,6630000,200.715018462254,4921
333600,6630000,200.627232944266,4914
333650,6630000,200.542629530043,4905
333700,6630000,200.460743799733,4896
333750,6630000,200.381190228088,4888
333800,6630000,200.303663243277,4882
333850,6630000,200.227936489577,4880
333900,6630000,200.153860859544,4882
333950,6630000,200.081360635902,4883
334000,6630000,200.010427679251,4883
334050,6630000,199.941114190624,4883
334100,6630000,199.873524525406,4888
334150,6630000,199.807805395443,4898
334200,6630000,199.744135102305,4913
334250,6630000,199.682711790637,4941
334300,6630000,199.623740677129,5003
